style_id,name
13,Belgian Blonde Ale                                                                                                              
22,American Cream Ale                                                                                                              
8,English Porter                                                                                                                  
88,American Imperial Stout                                                                                                         
92,American Malt Liquor                                                                                                            
100,German Pilsner                                                                                                                  
112,American Strong Ale                                                                                                             
86,German Roggenbier                                                                                                               
41,French Bière de Garde                                                                                                          
26,American Brown Ale                                                                                                              
49,American Barleywine                                                                                                             
29,New England IPA                                                                                                                 
55,Berliner Weisse                                                                                                                 
80,American Imperial Red Ale                                                                                                       
37,Irish Red Ale                                                                                                                   
75,English Old Ale                                                                                                                 
10,Belgian Gueuze                                                                                                                  
0,NULL                                                                                                                            
108,Baltic Porter                                                                                                                   
105,Belgian Strong Dark Ale                                                                                                         
82,American Wild Ale                                                                                                               
39,Pumpkin Beer                                                                                                                    
47,English Dark Mild Ale                                                                                                           
107,German Dunkelweizen                                                                                                             
35,American IPA                                                                                                                    
61,German Helles                                                                                                                   
65,European Pale Lager                                                                                                             
52,Belgian IPA                                                                                                                     
27,Finnish Sahti                                                                                                                   
16,American Imperial Pilsner                                                                                                       
9,Smoke Beer                                                                                                                      
57,American Amber / Red Ale                                                                                                        
4,Belgian Tripel                                                                                                                  
73,Scotch Ale / Wee Heavy                                                                                                          
23,Herb and Spice Beer                                                                                                             
69,Bière de Champagne / Bière Brut                                                                                               
3,Munich Dunkel Lager                                                                                                             
30,European Dark Lager                                                                                                             
48,Belgian Dubbel                                                                                                                  
12,Belgian Saison                                                                                                                  
101,American Pale Wheat Ale                                                                                                         
104,English Bitter                                                                                                                  
103,English Oatmeal Stout                                                                                                           
63,Irish Dry Stout                                                                                                                 
53,American Brut IPA                                                                                                               
45,Low Alcohol Beer                                                                                                                
111,Leipzig Gose                                                                                                                    
43,Russian Imperial Stout                                                                                                          
40,American Blonde Ale                                                                                                             
91,German Schwarzbier                                                                                                              
34,Japanese Happoshu                                                                                                               
79,German Kristalweizen                                                                                                            
25,Bohemian Pilsener                                                                                                               
84,American Lager                                                                                                                  
94,American Adjunct Lager                                                                                                          
72,American Black Ale                                                                                                              
42,English Brown Ale                                                                                                               
32,Japanese Rice Lager                                                                                                             
17,Braggot                                                                                                                         
90,American Pale Ale (APA)                                                                                                         
19,German Kölsch                                                                                                                  
95,European Export / Dortmunder                                                                                                    
89,Belgian Faro                                                                                                                    
21,German Altbier                                                                                                                  
74,American Light Lager                                                                                                            
11,English Pale Ale                                                                                                                
109,Flanders Red Ale                                                                                                                
97,German Maibock                                                                                                                  
31,Belgian Strong Pale Ale                                                                                                         
2,German Rauchbier                                                                                                                
7,German Weizenbock                                                                                                               
83,American Wheatwine Ale                                                                                                          
77,Belgian Pale Ale                                                                                                                
66,American Imperial Porter                                                                                                        
85,Robust Porter                                                                                                                   
44,American Amber / Red Lager                                                                                                      
14,English Pale Mild Ale                                                                                                           
36,European Strong Lager                                                                                                           
106,Fruit and Field Beer                                                                                                            
64,Flanders Oud Bruin                                                                                                              
96,Belgian Lambic                                                                                                                  
24,Scottish Ale                                                                                                                    
46,German Hefeweizen                                                                                                               
60,American Porter                                                                                                                 
93,Foreign / Export Stout                                                                                                          
33,Winter Warmer                                                                                                                   
6,American Imperial IPA                                                                                                           
102,Wild/Sour Beers                                                                                                                 
28,Belgian Quadrupel (Quad)                                                                                                        
5,English Strong Ale                                                                                                              
18,English Extra Special / Strong Bitter (ESB)                                                                                     
38,Vienna Lager                                                                                                                    
71,California Common / Steam Beer                                                                                                  
51,German Eisbock                                                                                                                  
20,American Stout                                                                                                                  
62,German Doppelbock                                                                                                               
110,Russian Kvass                                                                                                                   
56,English Stout                                                                                                                   
98,Scottish Gruit / Ancient Herbed Ale                                                                                             
59,Smoke Porter                                                                                                                    
87,English Sweet / Milk Stout                                                                                                      
50,Chile Beer                                                                                                                      
70,Rye Beer                                                                                                                        
1,German Märzen / Oktoberfest                                                                                                    
58,Belgian Fruit Lambic                                                                                                            
15,American Dark Wheat Ale                                                                                                         
68,English India Pale Ale (IPA)                                                                                                    
76,American Brett                                                                                                                  
78,Belgian Dark Ale                                                                                                                
67,German Bock                                                                                                                     
81,British Barleywine                                                                                                              
99,German Kellerbier / Zwickelbier                                                                                                 
54,Belgian Witbier                                                                                                                 
